城市,2010得分,2011得分,2012得分,2013得分,2014得分,2015得分,2016得分,2017得分,2018得分,2019得分
北京市,86.606,85.186,86.06,86.326,86.592,86.858,88.744,90.63,88.857,87.085
上海市,80.091,83.063,83.462,83.743,84.023,84.304,85.65,86.996,86.242,85.488
广州市,72.568,76.897,79.945,78.839,77.733,76.627,78.725,80.822,80.501,80.181
深圳市,75.566,81.276,82.676,80.9,79.125,77.349,79.741,82.133,80.29,78.446
天津市,72.553,79.848,78.31,77.805,77.299,76.794,77.43,78.066,78.18,78.294
成都市,71.583,82.437,78.729,77.959,77.189,76.419,77.596,78.773,77.805,76.838
杭州市,73.347,83.53,80.72,79.598,78.475,77.353,76.368,75.383,77.555,79.727
重庆市,71.005,76.32,75.004,75.836,76.667,77.499,76.578,75.657,77.147,78.636
南京市,73.657,80.386,78.772,77.916,77.061,76.205,75.648,75.092,76.531,77.971
海口市,74.697,79.255,79.641,78.76,77.878,76.997,76.359,75.722,76.125,76.528
武汉市,73.184,74.771,75.553,76.141,76.728,77.316,75.779,74.243,75.797,77.352
烟台市,66.819,73.139,74.815,73.254,71.694,70.133,72.09,74.048,75.674,77.301
厦门市,69.862,76.97,77.396,77.001,76.605,76.21,75.959,75.708,75.616,75.524
福州市,72.143,76.794,76.403,76.51,76.617,76.724,75.581,74.438,75.52,76.602
珠海市,66.811,74.872,76.617,74.851,73.085,71.319,71.564,71.808,75.379,78.95
合肥市,70.666,77.707,77.494,77.214,76.933,76.653,75.215,73.776,75.255,76.734
南宁市,75.099,75.631,76.956,76.379,75.801,75.224,75.249,75.273,75.204,75.136
济南市,73.975,77.455,76.762,76.516,76.27,76.024,74.406,72.788,74.875,76.962
大连市,71.074,75.179,75.538,75.265,74.993,74.72,73.97,73.22,74.874,76.529
金华市,68.724,73.173,75.36,74.197,73.034,71.871,72.671,73.472,74.765,76.058
兰州市,73.827,77.735,79.126,78.439,77.752,77.065,75.87,74.675,74.657,74.639
郑州市,69.83,72.587,73.423,73.533,73.643,73.753,73.258,72.763,74.632,76.502
青岛市,69.54,75.114,76.025,75.42,74.814,74.209,73.4,72.591,74.545,76.499
苏州市,66.395,72.95,75.547,74.014,72.481,70.948,71.191,71.433,74.503,77.573
西宁市,75.759,79.139,77.616,76.627,75.639,74.65,73.037,71.423,74.359,77.295
佛山市,68.689,72.569,77.243,75.131,73.019,70.907,71.499,72.092,74.09,76.089
惠州市,63.518,71.531,73.285,72.512,71.74,70.967,72.151,73.335,73.897,74.459
西安市,76.183,76.624,77.326,77.117,76.907,76.698,74.751,72.804,73.894,74.985
呼和浩特市,74.195,77.085,77.67,76.816,75.963,75.109,73.932,72.755,73.533,74.311
东莞市,65.823,72.752,73.818,73.089,72.361,71.632,71.41,71.187,73.392,75.597
宁波市,69.728,78.417,80.777,78.815,76.853,74.891,72.772,70.652,73.368,76.083
石家庄市,69.835,75.908,75.039,74.729,74.42,74.11,73.572,73.035,73.349,73.663
宿迁市,66.016,73.275,73.649,73.17,72.69,72.211,72.084,71.957,73.339,74.721
乌海市,73.469,72.764,72.221,71.662,71.102,70.543,70.801,71.058,73.254,75.45
沈阳市,68.981,77.99,77.408,77.054,76.701,76.347,73.451,70.555,73.188,75.82
长沙市,71.274,74.434,75.521,75.212,74.902,74.593,73.665,72.737,73.145,73.553
三亚市,76.177,73.309,74.697,73.435,72.172,70.91,71.13,71.349,73.055,74.762
温州市,71.541,77.103,76.907,75.376,73.844,72.313,72.116,71.919,73.031,74.144
嘉兴市,67.752,79.771,79.513,76.832,74.151,71.47,70.737,70.004,72.858,75.711
威海市,64.892,72.509,72.434,71.489,70.545,69.6,69.845,70.09,72.793,75.495
芜湖市,67.648,77.39,77.324,75.875,74.425,72.976,72.134,71.292,72.668,74.045
太原市,73.851,75.356,75.342,74.623,73.905,73.186,73.167,73.147,72.666,72.185
临沂市,65.71,72.322,72.988,72.045,71.101,70.158,70.481,70.804,72.642,74.481
无锡市,68.754,77.259,78.23,75.738,73.245,70.753,70.912,71.072,72.59,74.109
南通市,68.261,74.181,73.552,72.586,71.621,70.655,70.906,71.157,72.549,73.942
江门市,64.444,68.428,70.865,70.323,69.781,69.239,70.004,70.768,72.458,74.147
台州市,67.961,72.521,74.495,73.385,72.276,71.166,71.073,70.98,72.393,73.805
潍坊市,,72.013,71.165,70.595,70.026,69.456,69.037,68.617,72.291,75.964
哈尔滨市,68.571,74.664,76.113,75.494,74.876,74.257,73.321,72.385,72.275,72.166
廊坊市,70.075,76.131,73.329,71.983,70.638,69.292,70.603,71.914,72.208,72.502
泉州市,66.149,71.173,72.572,71.825,71.078,70.331,70.175,70.019,72.039,74.059
泰州市,70.244,76.42,74.035,72.53,71.024,69.519,69.284,69.049,72.007,74.964
贵阳市,72.806,77.834,77.264,77.475,77.687,77.898,74.372,70.846,71.995,73.143
安庆市,67.517,74.378,74.595,73.381,72.168,70.954,70.921,70.887,71.981,73.076
南昌市,71.298,74.987,75.465,75.188,74.912,74.635,72.931,71.227,71.883,72.539
宜昌市,67.638,75.104,74.073,73.451,72.828,72.206,71.528,70.849,71.861,72.872
乌鲁木齐市,,72.389,73.662,73.043,72.425,71.806,71.248,70.69,71.796,72.901
汕头市,67.082,71.39,71.305,70.332,69.359,68.386,69.243,70.101,71.723,73.345
荆门市,64.677,69.893,71.028,70.363,69.699,69.034,69.527,70.02,71.686,73.352
绍兴市,66.041,72.724,75.62,73.995,72.371,70.746,69.698,68.65,71.655,74.66
衢州市,66.909,74.877,75.873,74.083,72.294,70.504,70.543,70.582,71.649,72.716
淄博市,64.407,71.384,72.465,71.68,70.895,70.11,69.543,68.977,71.57,74.162
宣城市,64.807,72.004,73.49,72.845,72.199,71.554,70.278,69.001,71.502,74.004
莆田市,66.617,71.708,71.519,70.957,70.396,69.834,69.412,68.991,71.494,73.997
湖州市,66.867,75.122,75.308,73.37,71.431,69.493,68.906,68.32,71.493,74.665
丽水市,68.232,72.744,74.447,73.282,72.118,70.953,70.596,70.238,71.385,72.531
云浮市,67.273,73.406,72.848,71.918,70.987,70.057,70.706,71.354,71.376,71.398
驻马店市,66.743,73.906,72.733,71.923,71.112,70.302,70.712,71.121,71.352,71.583
常州市,66.695,74.42,74.68,73.213,71.746,70.279,69.035,67.791,71.344,74.898
鞍山市,66.869,73.812,74.386,72.598,70.809,69.021,68.511,68,71.273,74.545
德州市,64.776,71.149,72.526,71.455,70.385,69.314,70.348,71.382,71.228,71.075
阜阳市,65.316,70.798,70.961,70.266,69.571,68.876,69.143,69.409,71.194,72.978
鄂尔多斯市,74.896,72.9,72.793,71.441,70.089,68.737,69.549,70.362,71.146,71.93
十堰市,66.028,72.044,72.455,71.93,71.406,70.881,70.549,70.218,71.066,71.914
亳州市,72.902,73.172,72.291,71.275,70.26,69.244,69.54,69.835,71.05,72.265
日照市,66.555,72.968,73.626,72.376,71.127,69.877,70.722,71.568,71.043,70.518
黄石市,64.626,71.989,70.506,69.709,68.913,68.116,68.701,69.286,71.005,72.725
秦皇岛市,68.264,75.88,75.728,73.596,71.465,69.333,70.356,71.38,70.998,70.615
中山市,64.979,70.37,71.708,70.791,69.875,68.958,69.874,70.791,70.977,71.163
德阳市,65.038,71.875,70.881,70.199,69.518,68.836,69.337,69.837,70.844,71.851
清远市,65.637,73.162,73.827,72.61,71.392,70.175,70.438,70.7,70.822,70.943
中卫市,72.742,73.868,74.132,72.832,71.533,70.233,70.653,71.073,70.815,70.557
扬州市,66.105,75.286,78.435,76.46,74.485,72.51,70.436,68.363,70.776,73.19
柳州市,68.543,72.35,74.834,73.195,71.556,69.917,69.672,69.428,70.722,72.016
滁州市,65.25,71.71,69.688,69.251,68.815,68.378,69.042,69.706,70.717,71.728
辽阳市,66.898,73.625,74.185,72.557,70.93,69.302,68.832,68.361,70.662,72.962
拉萨市,,,,,,,,69.702,70.615,71.529
包头市,68.909,76.735,77.239,75.22,73.2,71.181,70.985,70.789,70.565,70.34
荆州市,65.901,72.457,71.925,71.252,70.578,69.905,70.086,70.267,70.524,70.781
泸州市,65.078,71.653,71.868,70.83,69.793,68.755,68.273,67.792,70.52,73.248
肇庆市,65.561,72.131,72.324,71.111,69.899,68.686,68.737,68.788,70.492,72.196
长春市,72.171,78.278,75.404,74.818,74.232,73.646,71.481,69.316,70.438,71.56
淮南市,67.861,74.038,74.693,73.173,71.654,70.134,68.905,67.676,70.416,73.157
镇江市,66.079,74.792,76.131,74.593,73.056,71.518,69.963,68.407,70.375,72.343
济宁市,65.6,70.119,69.61,69.528,69.445,69.363,69.063,68.763,70.323,71.884
梅州市,68.669,72.116,71.138,70.547,69.955,69.364,70.182,71,70.298,69.596
宿州市,64.522,69.247,67.202,67.114,67.027,66.939,67.404,67.869,70.245,72.621
银川市,77.152,79.732,81.018,79.151,77.285,75.418,72.636,69.854,70.189,70.523
昆明市,63.604,71.39,75.774,75.078,74.382,73.686,71.569,69.452,70.174,70.897
淮北市,65.2,70.85,68.684,68.441,68.199,67.956,67.686,67.417,70.168,72.92
延安市,69.013,71.637,68.931,68.805,68.68,68.554,68.875,69.196,70.1,71.005
池州市,64.433,70.907,68.751,68.681,68.612,68.542,68.544,68.546,70.091,71.636
唐山市,66.012,73.645,72.471,71.198,69.924,68.651,69.109,69.568,70.062,70.556
泰安市,65.483,69.238,71.283,70.646,70.01,69.373,68.359,67.346,70.023,72.701
湘潭市,64.41,72.056,74.38,72.588,70.796,69.004,68.166,67.329,69.978,72.628
