证券代码,证券简称,"广告宣传推广费(销售费用)
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2018年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2019年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2020年报
[报表类型] 合并报表
[单位] 元","所属证监会行业名称
[交易日期] 最新收盘日
[行业级别] 门类行业"
000001.SZ,平安银行,,,,,,,,,,,金融业
000002.SZ,万科A,,"1,156,355,401.0900","1,561,486,682.9200","1,703,628,579.4200","1,386,333,513.2300","1,544,390,560.8100","1,958,647,774.7300","3,047,777,123.8600","3,426,829,609.4400","3,309,793,867.3800",房地产业
000004.SZ,国华网安,,"6,908,057.4600","5,316,971.1200","5,590,874.6900","6,398,719.2600","9,422,036.5000","72,350,777.8600","268,469,217.1000","82,574,667.4800","3,214,882.6300",信息传输、软件和信息技术服务业
000005.SZ,ST星源,,"235,640.7000","558,553.5000","325,174.2400","1,531,035.2200","298,289.4800","250,757.7700","1,133,177.5700",,"1,895.0200",水利、环境和公共设施管理业
000006.SZ,深振业A,,"65,370,942.5600","50,270,565.1100","55,092,471.2500","52,028,221.7500","35,156,913.9900","23,190,122.4500","20,335,130.2200","19,878,234.0400","14,683,736.9500",房地产业
000007.SZ,*ST全新,,"2,132,375.1900","2,304,880.0400","2,074,972.4500","1,012,682.3400",,,,,"123,571.6200",房地产业
000008.SZ,神州高铁,,"220,660.0000","70,802.0000","593,605.0000","5,536,843.3600","6,916,403.2200","5,032,406.4200","3,106,935.4800","3,385,465.7200","8,759,159.1900",制造业
000009.SZ,中国宝安,,"101,786,680.9000","94,573,704.1200","74,752,407.8900","64,958,956.8600","59,719,228.6300","87,161,864.2000","195,741,831.7600","648,726,030.8900","689,079,540.2400",综合
000010.SZ,美丽生态,,"143,352.0000",,,,,,,,,建筑业
000011.SZ,深物业A,,,,,,,,"11,002,256.6600","6,975,770.0000","10,794,534.1900",房地产业
000012.SZ,南玻A,,,,,,,,,,,制造业
000014.SZ,沙河股份,,"9,729,855.6300","10,348,459.5000","7,644,766.1000","4,017,829.8000","3,842,149.6000","2,385,295.7500","4,067,623.0800","2,651,710.8800","6,137,081.6400",房地产业
000016.SZ,深康佳A,,"849,585,898.5000","849,590,881.2700","666,895,097.3600","689,451,659.8600","671,566,970.9000","592,752,205.9500","717,326,066.9900","805,282,474.7300","622,692,423.9000",制造业
000017.SZ,*ST中华A,,,"1,713,098.0100","721,113.6800","1,474,565.4600","1,035,052.2800","1,328,116.4400","1,052,618.9800","792,290.5500","1,193,544.1700",制造业
000019.SZ,深粮控股,,"1,126,763.2800","8,370,187.4300","9,442,818.7900","6,432,317.1800","3,307,664.7200","448,776.6300","547,154.1700","812,177.0900","844,284.3800",批发和零售业
000020.SZ,深华发A,,,,,,,,,,,制造业
000021.SZ,深科技,,"252,359.5700","152,872.0700",,,,,,"1,411,772.5600","576,857.7500",制造业
000023.SZ,深天地A,,"142,289.0000","2,004,289.3900","3,038,314.6100","3,073,475.0000","3,722,412.4900","5,237,633.1500","5,709,466.5300","5,712,026.8900",,制造业
000025.SZ,特力A,,"1,581,206.7900","1,499,272.6500","1,092,285.3100","594,035.3000","434,329.3900","1,147,158.1300","1,764,907.4600","1,703,759.3700","2,138,496.2100",批发和零售业
000026.SZ,飞亚达,,"99,004,981.4500","133,717,934.8700","151,173,934.0000","149,701,424.9900","134,866,138.9400","163,022,569.4000","186,814,362.0000","155,102,618.4400","129,846,038.0500",批发和零售业
000027.SZ,深圳能源,,,,,,,,,,,电力、热力、燃气及水生产和供应业
000028.SZ,国药一致,,"72,550,049.7400","61,560,772.1300","57,568,618.4300","38,367,210.7300","46,109,018.0100","42,136,107.3200","52,513,151.3700","56,482,482.4900","71,205,972.8500",批发和零售业
000029.SZ,深深房A,,"18,960,161.9600","23,111,772.3200","13,677,234.5800","4,159,095.2600","9,943,994.9500","9,853,692.3600","6,657,350.0400","5,292,324.9700","2,646,392.1100",房地产业
000030.SZ,富奥股份,,,"1,389,731.6800","755,978.2300",,,,"1,883,601.8100","665,467.6300",,制造业
000031.SZ,大悦城,,"195,697,263.2600","230,852,044.1700","255,730,654.7400","215,066,986.5600","247,728,031.4000","173,509,638.4000","204,710,860.8600","442,679,160.5000","387,542,163.2300",房地产业
000032.SZ,深桑达A,,"1,554,580.0000","7,506,180.5800","5,474,789.2500","3,200,913.4600","2,032,431.8700","3,970,329.6700","3,794,776.6100","547,820.0000","40,230.0000",批发和零售业
000034.SZ,神州数码,"5,975,079.5500","6,291,492.3500","4,699,335.7800","4,355,439.6600","2,839,547.0000","173,549,344.4400","240,266,409.2200","205,434,799.8000","218,544,034.4400","246,158,875.3100",批发和零售业
000035.SZ,中国天楹,,,,,,,,,,,水利、环境和公共设施管理业
000036.SZ,华联控股,,,,"4,434,546.0000","14,395,176.0000","16,831,483.1700","21,573,162.3700","22,171,257.9000","21,486,978.8000","16,603,214.5300",房地产业
000037.SZ,深南电A,,,,,,,,,,,电力、热力、燃气及水生产和供应业
000038.SZ,深大通,,"698,063.0000","477,402.0000","670,304.1500","1,504,337.9000","2,743,149.2000","602,297.1800","230,717.3200","187,875.4700","3,042,895.4200",租赁和商务服务业
000039.SZ,中集集团,,,,"46,608,000.0000","57,885,000.0000","44,307,000.0000","49,150,000.0000","54,597,000.0000","48,267,000.0000","77,172,000.0000",制造业
000040.SZ,东旭蓝天,,"14,459,011.6000","32,377,191.6100","38,365,754.4100","30,987,782.3800","17,300,818.5300","51,163,411.8400","1,482,461.0400",,"368,548.8000",电力、热力、燃气及水生产和供应业
